figure_id,figure_name,generated,inserted_into_word,figure_type,data_source,script_used,output_png,output_pdf,warning
Graphical Abstract,Graphical Abstract,True,False,mechanism schematic,Locked manuscript numbers; no result recomputation,results_final\scripts\generate_final_manuscript_figures.py,results_final\figures\Graphical_Abstract_P15_vs_highdimensional.png,results_final\figures\Graphical_Abstract_P15_vs_highdimensional.pdf,
Figure 1,研究流程与双锚点竞争风险框架,True,False,mechanism/workflow schematic,Locked cohort/model design documents,results_final\scripts\generate_final_manuscript_figures.py,results_final\figures\Figure1_workflow_double_anchor_competing_risk.png,results_final\figures\Figure1_workflow_double_anchor_competing_risk.pdf,
Figure 1B,患者轨迹与双锚点时间对齐,True,False,mechanism/timeline schematic,Dual-anchor design; illustrative only,results_final\scripts\generate_final_manuscript_figures.py,results_final\figures\Figure1B_double_anchor_patient_timeline.png,results_final\figures\Figure1B_double_anchor_patient_timeline.pdf,
Figure 2 AUROC,模型从 MIMIC-IV 到 eICU 的外部迁移轨迹 (AUROC),True,False,true results plot,D:\try\github_chatgpt_share_repo\results_final\tables\bootstrap_ci_main_results.csv; D:\try\github_chatgpt_share_repo\results_final\tables\bootstrap_ci_clinical_implementation_models.csv,results_final\scripts\generate_final_manuscript_figures.py,results_final\figures\Figure2_transportability_slopegraph_AUROC.png,results_final\figures\Figure2_transportability_slopegraph_AUROC.pdf,
Figure 2 AUPRC,模型从 MIMIC-IV 到 eICU 的外部迁移轨迹 (AUPRC),True,False,true results plot,D:\try\github_chatgpt_share_repo\results_final\tables\bootstrap_ci_main_results.csv; D:\try\github_chatgpt_share_repo\results_final\tables\bootstrap_ci_clinical_implementation_models.csv,results_final\scripts\generate_final_manuscript_figures.py,results_final\figures\Figure2_transportability_slopegraph_AUPRC.png,results_final\figures\Figure2_transportability_slopegraph_AUPRC.pdf,
Figure 3,eICU 外部验证中的平滑校准曲线,True,False,true prediction-level reliability diagram,D:\try\step7_main_modeling\output\Model_Ready_eICU_External.parquet; D:\try\step7_main_modeling\output\pred_main_eicu_external.parquet,results_final\scripts\generate_final_manuscript_figures.py,results_final\figures\Figure3_eICU_smooth_calibration_curve.png,results_final\figures\Figure3_eICU_smooth_calibration_curve.pdf,
Figure 4,eICU 外部验证中的决策曲线分析,True,False,true DCA results plot,D:\try\github_chatgpt_share_repo\results_final\clinical_implementation\P12_P10_TrueTraining_DCA_Summary.csv,results_final\scripts\generate_final_manuscript_figures.py,results_final\figures\Figure4_eICU_decision_curve_analysis.png,results_final\figures\Figure4_eICU_decision_curve_analysis.pdf,
Figure 5,P15 在 eICU 不同临床表型中的外部验证稳健性,True,False,true phenotype-stratified bootstrap result plot,D:\try\github_chatgpt_share_repo\results_final\tables\bootstrap_ci_subphenotype_results.csv,results_final\scripts\generate_final_manuscript_figures.py,results_final\figures\Figure5_subphenotype_robustness_eICU.png,results_final\figures\Figure5_subphenotype_robustness_eICU.pdf,
Figure 6,P15 特征重要性与部署难度四象限图,True,False,true frozen-model coefficient importance plot,D:\try\parsimonious_features\model_P15_minimal_bedside_model.pkl; D:\try\github_chatgpt_share_repo\results_final\tables\P15_feature_source_availability_deployment_table.csv; D:\try\github_chatgpt_share_repo\results_final\tables\P15_feature_missingness_audit.csv,results_final\scripts\generate_final_manuscript_figures.py,results_final\figures\Figure6_P15_feature_importance_vs_deployment_difficulty.png,results_final\figures\Figure6_P15_feature_importance_vs_deployment_difficulty.pdf,
Supplementary Figure S1,P15 在 eICU 外部验证中的阈值特异性操作性能,True,False,true threshold-specific results plot,D:\try\github_chatgpt_share_repo\results_final\tables\P15_eICU_threshold_specific_performance.csv,results_final\scripts\generate_final_manuscript_figures.py,results_final\figures\Supplementary_Figure_S1_P15_threshold_operational_performance.png,results_final\figures\Supplementary_Figure_S1_P15_threshold_operational_performance.pdf,
Additional Figure A,eICU 外部验证表现总览,True,False,true results summary plot,D:\try\github_chatgpt_share_repo\results_final\tables\bootstrap_ci_main_results.csv; D:\try\github_chatgpt_share_repo\results_final\tables\bootstrap_ci_clinical_implementation_models.csv,results_final\scripts\generate_final_manuscript_figures.py,results_final\figures\Additional_Figure_A_eICU_external_performance_overview.png,results_final\figures\Additional_Figure_A_eICU_external_performance_overview.pdf,
Additional Figure B,eICU 外部校准斜率森林图,True,False,true calibration-slope forest plot,D:\try\github_chatgpt_share_repo\results_final\tables\bootstrap_ci_main_results.csv; D:\try\github_chatgpt_share_repo\results_final\tables\bootstrap_ci_clinical_implementation_models.csv,results_final\scripts\generate_final_manuscript_figures.py,results_final\figures\Additional_Figure_B_eICU_calibration_slope_forest.png,results_final\figures\Additional_Figure_B_eICU_calibration_slope_forest.pdf,
