feature_internal,feature_display,legacy_alias_note,feature_category,clinical_interpretability_score_1to5,cross_database_stability_score_1to5,implementation_ease_score_1to5,model_importance_score_1to5,weighted_retention_score_1to5,estimated_AUROC_loss_if_removed,estimated_AUPRC_loss_if_removed,estimated_calibration_slope_loss_if_removed,included_in_P10,included_in_P12,included_in_P15,retention_recommendation,rationale,evidence_type,mimic_missing_rate,eicu_missing_rate,implementation_burden,real_time_availability,blood_draw_required,clinical_trust_score_1to5,clinical_trust_level,clinical_priority_rank,cross_database_stability_evidence
spo2_latest_value,spo2_latest_value,,vital_sign,5,4,5,5,4.75,0.006,0.012,0.035,True,True,True,core_keep,SpO2 carries oxygenation information and is the strongest estimated P15 single-feature contributor.,simulation_only_no_retraining,0.0938098093755582,0.0309352579570973,routine_bedside_monitoring,near_real_time,no,4.75,very_high,1,MIMIC missing 0.094; eICU missing 0.031
hr_latest_value,heart_rate_latest_value,display alias only; internal feature name retained for traceability,vital_sign,5,5,5,3,4.6,0.0038,0.0055,0.015,True,True,True,core_keep,Heart rate is a universally charted bedside marker of circulatory stress.,simulation_only_no_retraining,0.0738318830224309,0.0105311516449693,routine_bedside_monitoring,near_real_time,no,4.6,very_high,2,MIMIC missing 0.074; eICU missing 0.011
hours_from_anchor,hours_from_anchor,,time_anchor,4,5,5,4,4.5,0.0065,0.009,0.03,True,True,True,core_keep,Disease-time anchor from t_sepsis; high transport value and preserves prefix-only temporal framing.,simulation_only_no_retraining,0.0,0.0,automatic_timestamp_or_anchor_logic,near_real_time,no,4.5,very_high,3,MIMIC missing 0.000; eICU missing 0.000
shared_support_intensity_proxy,shared_support_intensity_proxy,,support_proxy,5,5,3,5,4.5,0.0075,0.014,0.055,True,True,True,core_keep,"Transportable support-intensity composite; proxy only, not full VIS.",simulation_only_no_retraining,0.0,0.0,derived_transport_proxy_from_support_signals,derived_after_source_signal_update,no,4.5,very_high,4,MIMIC missing 0.000; eICU missing 0.000
rr_latest_value,respiratory_rate_latest_value,display alias only; internal feature name retained for traceability,vital_sign,5,4,5,3,4.35,0.003,0.0045,0.015,True,True,True,core_keep,"Respiratory rate is clinically simple, low-cost, and transportable across ICU datasets.",simulation_only_no_retraining,0.0814141169265317,0.0572878670137736,routine_bedside_monitoring,near_real_time,no,4.35,high,5,MIMIC missing 0.081; eICU missing 0.057
hours_since_icu_admission,hours_since_icu_admission,,time_anchor,4,5,5,3,4.3,0.004,0.0055,0.02,True,True,True,core_keep,ICU process-time anchor; available in both databases and necessary for dual-anchor alignment.,simulation_only_no_retraining,0.0,0.0,automatic_timestamp_or_anchor_logic,near_real_time,no,4.3,high,6,MIMIC missing 0.000; eICU missing 0.000
is_sepsis_on_admission,is_sepsis_on_admission,,time_anchor,4,5,5,3,4.3,0.003,0.004,0.015,True,True,True,core_keep,Separates admission sepsis from ICU-acquired sepsis without using future outcomes.,simulation_only_no_retraining,0.0,0.0,automatic_timestamp_or_anchor_logic,near_real_time,no,4.3,high,7,MIMIC missing 0.000; eICU missing 0.000
bun_latest_value,bun_latest_value,,routine_lab,5,4,4,4,4.3,0.0045,0.007,0.02,True,True,True,core_keep,Routine renal/perfusion marker with strong estimated transport contribution.,simulation_only_no_retraining,0.0248519917319519,0.0512033495758339,routine_blood_laboratory,episodic_laboratory_turnaround,yes,4.3,high,8,MIMIC missing 0.025; eICU missing 0.051
platelet_latest_value,platelet_latest_value,,routine_lab,5,4,4,3,4.1,0.0032,0.0048,0.015,True,True,True,core_keep,Routine coagulation/host-response marker with clear clinical interpretation.,simulation_only_no_retraining,0.0296239824431571,0.0714761969530806,routine_blood_laboratory,episodic_laboratory_turnaround,yes,4.1,high,9,MIMIC missing 0.030; eICU missing 0.071
support_hemodynamic_component,support_hemodynamic_component,,support_proxy,4,5,3,4,4.0,0.004,0.0065,0.025,False,False,True,balanced_or_P15_keep,Circulatory support component; useful for P15 interpretability but removable in simpler subsets.,simulation_only_no_retraining,0.0,0.0,derived_transport_proxy_from_support_signals,derived_after_source_signal_update,no,4.0,high,10,MIMIC missing 0.000; eICU missing 0.000
