P15 变量,MIMIC-IV 来源字段 / itemid / 表,eICU 来源字段 / 表,是否需要单位转换,是否需要字段合并,是否存在 fallback,映射稳定性判断,证据文件路径,备注
hours_since_icu_admission,Prediction_Grid_main_* / hours_since_icu_admission；未在当前项目文件中找到 itemid,Prediction_Grid_eicu_external / hours_since_icu_admission,already canonical；具体单位未在当前最终文件中完整展开,否，概念级变量已在 Step2/Step3 层 canonicalized,prediction grid 字段作为双库统一接口,high,archive/post_metre_reference/metre_transport/METRE_Transport_Feature_Set.csv,未在当前项目文件中找到原始 itemid；仅确认到表/概念级映射。
hours_from_anchor,Prediction_Grid_main_* / hours_from_anchor；未在当前项目文件中找到 itemid,Prediction_Grid_eicu_external / hours_from_anchor,already canonical；具体单位未在当前最终文件中完整展开,否，概念级变量已在 Step2/Step3 层 canonicalized,prediction grid 字段作为双库统一接口,high,archive/post_metre_reference/metre_transport/METRE_Transport_Feature_Set.csv,未在当前项目文件中找到原始 itemid；仅确认到表/概念级映射。
is_sepsis_on_admission,Prediction_Grid_main_* / is_sepsis_on_admission；未在当前项目文件中找到 itemid,Prediction_Grid_eicu_external / is_sepsis_on_admission,already canonical；具体单位未在当前最终文件中完整展开,否，概念级变量已在 Step2/Step3 层 canonicalized,prediction grid 字段作为双库统一接口,high,archive/post_metre_reference/metre_transport/METRE_Transport_Feature_Set.csv,未在当前项目文件中找到原始 itemid；仅确认到表/概念级映射。
heart_rate_latest_value,mimiciv_icu.chartevents / hr_latest_value；未在当前项目文件中找到 itemid,eicu.vitalPeriodic / nurseCharting / hr_latest_value,already canonicalized in Step2/Step3 feature layer；具体单位未在当前最终文件中完整展开,否，概念级变量已在 Step2/Step3 层 canonicalized,未在当前项目文件中找到数据库特异性 fallback 细节,high,archive/post_metre_reference/metre_transport/METRE_Transport_Feature_Set.csv,未在当前项目文件中找到原始 itemid；仅确认到表/概念级映射。
respiratory_rate_latest_value,mimiciv_icu.chartevents / respiratory charting / rr_latest_value；未在当前项目文件中找到 itemid,eicu.vitalPeriodic / respiratoryCharting / rr_latest_value,already canonicalized in Step2/Step3 feature layer；具体单位未在当前最终文件中完整展开,否，概念级变量已在 Step2/Step3 层 canonicalized,未在当前项目文件中找到数据库特异性 fallback 细节,high,archive/post_metre_reference/metre_transport/METRE_Transport_Feature_Set.csv,未在当前项目文件中找到原始 itemid；仅确认到表/概念级映射。
spo2_latest_value,mimiciv_icu.chartevents / respiratory charting / spo2_latest_value；未在当前项目文件中找到 itemid,eicu.vitalPeriodic / respiratoryCharting / spo2_latest_value,already canonicalized in Step2/Step3 feature layer；具体单位未在当前最终文件中完整展开,否，概念级变量已在 Step2/Step3 层 canonicalized,未在当前项目文件中找到数据库特异性 fallback 细节,high,archive/post_metre_reference/metre_transport/METRE_Transport_Feature_Set.csv,未在当前项目文件中找到原始 itemid；仅确认到表/概念级映射。
creatinine_latest_value,mimiciv_hosp.labevents / creatinine_latest_value；未在当前项目文件中找到 itemid,eicu.lab / creatinine_latest_value,already canonicalized in Step2/Step3 feature layer；具体单位未在当前最终文件中完整展开,否，概念级变量已在 Step2/Step3 层 canonicalized,未在当前项目文件中找到数据库特异性 fallback 细节,high,archive/post_metre_reference/metre_transport/METRE_Transport_Feature_Set.csv,未在当前项目文件中找到原始 itemid；仅确认到表/概念级映射。
bun_latest_value,mimiciv_hosp.labevents / bun_latest_value；未在当前项目文件中找到 itemid,eicu.lab / bun_latest_value,already canonicalized in Step2/Step3 feature layer；具体单位未在当前最终文件中完整展开,否，概念级变量已在 Step2/Step3 层 canonicalized,未在当前项目文件中找到数据库特异性 fallback 细节,high,archive/post_metre_reference/metre_transport/METRE_Transport_Feature_Set.csv,未在当前项目文件中找到原始 itemid；仅确认到表/概念级映射。
platelet_latest_value,mimiciv_hosp.labevents / platelet_latest_value；未在当前项目文件中找到 itemid,eicu.lab / platelet_latest_value,already canonicalized in Step2/Step3 feature layer；具体单位未在当前最终文件中完整展开,否，概念级变量已在 Step2/Step3 层 canonicalized,未在当前项目文件中找到数据库特异性 fallback 细节,high,archive/post_metre_reference/metre_transport/METRE_Transport_Feature_Set.csv,未在当前项目文件中找到原始 itemid；仅确认到表/概念级映射。
wbc_latest_value,mimiciv_hosp.labevents / wbc_latest_value；未在当前项目文件中找到 itemid,eicu.lab / wbc_latest_value,already canonicalized in Step2/Step3 feature layer；具体单位未在当前最终文件中完整展开,否，概念级变量已在 Step2/Step3 层 canonicalized,未在当前项目文件中找到数据库特异性 fallback 细节,high,archive/post_metre_reference/metre_transport/METRE_Transport_Feature_Set.csv,未在当前项目文件中找到原始 itemid；仅确认到表/概念级映射。
shared_support_intensity_proxy,Step7 model-ready physiology-derived support components / composite；未在当前项目文件中找到原始 itemid，需要作者核对,Step7 model-ready core physiology-derived support components / composite；未在当前项目文件中找到原始字段名细节，需要作者核对,使用 0-1 proxy scale；底层变量已在 Step2/Step3 层 canonicalized，具体单位换算未在主路径完整列出,是，四个 proxy 分量平均,未在当前项目文件中找到数据库特异性 fallback 细节；proxy 用 shared transport representation 避免 full VIS 等价假设,high/transport（概念级，来自 METRE transport registry）；本地字段级部署仍需核对,results_final/clinical_implementation/run_p12_p10_true_training_validation.py; archive/post_metre_reference/metre_transport/METRE_Transport_Feature_Set.csv; archive/post_metre_reference/metre_transport/Shared_Support_Intensity_Proxy_Definition.md,禁止写成 full VIS；底层原始字段和单位需作者结合原始特征工程代码核对。
support_hemodynamic_component,map_deficit + map_below_65_burden_24h；未在当前项目文件中找到原始 itemid，需要作者核对,map_deficit + map_below_65_burden_24h；未在当前项目文件中找到原始字段名细节，需要作者核对,使用 0-1 proxy scale；底层变量已在 Step2/Step3 层 canonicalized，具体单位换算未在主路径完整列出,是，MAP deficit 与低 MAP burden 合成,未在当前项目文件中找到数据库特异性 fallback 细节；proxy 用 shared transport representation 避免 full VIS 等价假设,high/transport（概念级，来自 METRE transport registry）；本地字段级部署仍需核对,results_final/clinical_implementation/run_p12_p10_true_training_validation.py; archive/post_metre_reference/metre_transport/METRE_Transport_Feature_Set.csv; archive/post_metre_reference/metre_transport/Shared_Support_Intensity_Proxy_Definition.md,禁止写成 full VIS；底层原始字段和单位需作者结合原始特征工程代码核对。
