clinical_concept,mimic_source_table,mimic_raw_variable,eicu_source_table,eicu_raw_variable,unit_mimic,unit_eicu,canonical_unit,conversion_rule,hourly_aggregation_rule,forward_fill_rule,missingness_mimic,missingness_eicu,transportability_grade,recommended_use,notes
bilirubin total is forward filled,mimiciv_hosp.labevents,bilirubin_total_is_forward_filled,eicu.lab,bilirubin_total_is_forward_filled,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,low,exclude,Observation-process-heavy feature likely harms transportability.
bilirubin total is observed current hour,mimiciv_hosp.labevents,bilirubin_total_is_observed_current_hour,eicu.lab,bilirubin_total_is_observed_current_hour,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,low,exclude,Observation-process-heavy feature likely harms transportability.
bilirubin total measure count last 24h,mimiciv_hosp.labevents,bilirubin_total_measure_count_last_24h,eicu.lab,bilirubin_total_measure_count_last_24h,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,low,exclude,Observation-process-heavy feature likely harms transportability.
creatinine is forward filled,mimiciv_hosp.labevents,creatinine_is_forward_filled,eicu.lab,creatinine_is_forward_filled,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,low,exclude,Observation-process-heavy feature likely harms transportability.
creatinine is observed current hour,mimiciv_hosp.labevents,creatinine_is_observed_current_hour,eicu.lab,creatinine_is_observed_current_hour,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,low,exclude,Observation-process-heavy feature likely harms transportability.
creatinine measure count last 24h,mimiciv_hosp.labevents,creatinine_measure_count_last_24h,eicu.lab,creatinine_measure_count_last_24h,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,low,exclude,Observation-process-heavy feature likely harms transportability.
fio2 is forward filled,mimiciv_icu.chartevents / respiratory charting,fio2_is_forward_filled,eicu.vitalPeriodic / respiratoryCharting,fio2_is_forward_filled,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,low,exclude,Observation-process-heavy feature likely harms transportability.
fio2 is observed current hour,mimiciv_icu.chartevents / respiratory charting,fio2_is_observed_current_hour,eicu.vitalPeriodic / respiratoryCharting,fio2_is_observed_current_hour,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,low,exclude,Observation-process-heavy feature likely harms transportability.
fio2 measure count last 24h,mimiciv_icu.chartevents / respiratory charting,fio2_measure_count_last_24h,eicu.vitalPeriodic / respiratoryCharting,fio2_measure_count_last_24h,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,low,exclude,Observation-process-heavy feature likely harms transportability.
hr is forward filled,mimiciv_icu.chartevents,hr_is_forward_filled,eicu.vitalPeriodic / nurseCharting,hr_is_forward_filled,canonical vital unit,canonical vital unit,canonical vital unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,low,exclude,Observation-process-heavy feature likely harms transportability.
hr is observed current hour,mimiciv_icu.chartevents / respiratory charting,hr_is_observed_current_hour,eicu.vitalPeriodic / respiratoryCharting,hr_is_observed_current_hour,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,low,exclude,Observation-process-heavy feature likely harms transportability.
hr measure count last 24h,mimiciv_icu.chartevents,hr_measure_count_last_24h,eicu.vitalPeriodic / nurseCharting,hr_measure_count_last_24h,canonical vital unit,canonical vital unit,canonical vital unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,low,exclude,Observation-process-heavy feature likely harms transportability.
lactate is forward filled,mimiciv_hosp.labevents,lactate_is_forward_filled,eicu.lab,lactate_is_forward_filled,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,low,exclude,Observation-process-heavy feature likely harms transportability.
lactate is observed current hour,mimiciv_hosp.labevents,lactate_is_observed_current_hour,eicu.lab,lactate_is_observed_current_hour,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,low,exclude,Observation-process-heavy feature likely harms transportability.
lactate measure count last 24h,mimiciv_hosp.labevents,lactate_measure_count_last_24h,eicu.lab,lactate_measure_count_last_24h,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,low,exclude,Observation-process-heavy feature likely harms transportability.
map is forward filled,mimiciv_icu.chartevents,map_is_forward_filled,eicu.vitalPeriodic / nurseCharting,map_is_forward_filled,canonical vital unit,canonical vital unit,canonical vital unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,low,exclude,Observation-process-heavy feature likely harms transportability.
map is observed current hour,mimiciv_icu.chartevents / respiratory charting,map_is_observed_current_hour,eicu.vitalPeriodic / respiratoryCharting,map_is_observed_current_hour,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,low,exclude,Observation-process-heavy feature likely harms transportability.
map measure count last 24h,mimiciv_icu.chartevents,map_measure_count_last_24h,eicu.vitalPeriodic / nurseCharting,map_measure_count_last_24h,canonical vital unit,canonical vital unit,canonical vital unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,low,exclude,Observation-process-heavy feature likely harms transportability.
