feature,included_feature_sets,mimic_missing_rate,eicu_missing_rate,clinical_reason,transportability_reason,model_importance_reason,final_decision,display_model_name,display_feature_set_name,legacy_model_id,legacy_feature_set_id,manuscript_role,naming_note
antibiotics_active_current,F25_clinical_core_set;F40_balanced_transport_set;MT3_full_transport_set,0.0,0.0,respiratory status/support marker relevant to acute deterioration,available with low missingness in both MIMIC and eICU,regularized death-class coefficient rank 8 in MT3_full_transport_set; used as auxiliary only,retain in clinical core candidate,,,,,,
bilirubin_total_latest_value,F40_balanced_transport_set,0.5879851736545283,0.5460533386851469,routine laboratory or organ-function marker with direct clinical interpretation,available in both databases with moderate missingness; retained only when clinically justified,regularized death-class coefficient rank 39 in P40_balanced_transport_model; used as auxiliary only,retain in balanced candidate only,,,,,,
bun_latest_value,F15_minimal_bedside_set;F25_clinical_core_set;F40_balanced_transport_set;MT3_full_transport_set,0.024851991731951923,0.0512033495758339,renal function or urine-output marker linked to organ dysfunction,available with low missingness in both MIMIC and eICU,regularized death-class coefficient rank 2 in P25_clinical_core_model; used as auxiliary only,retain in minimal/core/balanced candidate,,,,,,
creatinine_hours_since_last_real_measurement,F25_clinical_core_set;F40_balanced_transport_set,0.001805445683517493,0.0026965150752789016,renal function or urine-output marker linked to organ dysfunction,available with low missingness in both MIMIC and eICU,regularized death-class coefficient rank 10 in P25_clinical_core_model; used as auxiliary only,retain in clinical core candidate,,,,,,
creatinine_latest_value,F15_minimal_bedside_set;F25_clinical_core_set;F40_balanced_transport_set;MT3_full_transport_set,0.025059330900553754,0.05043767245569298,renal function or urine-output marker linked to organ dysfunction,available with low missingness in both MIMIC and eICU,regularized death-class coefficient rank 15 in P15_minimal_bedside_model; used as auxiliary only,retain in minimal/core/balanced candidate,,,,,,
creatinine_relative_rise_from_24h_min,F25_clinical_core_set;F40_balanced_transport_set;MT3_full_transport_set,0.02505933090055375,0.05043767245569298,renal function or urine-output marker linked to organ dysfunction,available with low missingness in both MIMIC and eICU,regularized death-class coefficient rank 20 in P25_clinical_core_model; used as auxiliary only,retain in clinical core candidate,,,,,,
culture_flag_current,F25_clinical_core_set;F40_balanced_transport_set;MT3_full_transport_set,0.0,0.0,respiratory status/support marker relevant to acute deterioration,available with low missingness in both MIMIC and eICU,regularized death-class coefficient rank 16 in MT3_full_transport_set; used as auxiliary only,retain in clinical core candidate,,,,,,
fio2_hours_since_last_real_measurement,F25_clinical_core_set;F40_balanced_transport_set,0.14524587235562814,0.13432925257548103,respiratory status/support marker relevant to acute deterioration,available with low missingness in both MIMIC and eICU,regularized death-class coefficient rank 1 in P25_clinical_core_model; used as auxiliary only,retain in clinical core candidate,,,,,,
fio2_latest_value,F40_balanced_transport_set,0.8253598132033583,0.6957379843383361,respiratory status/support marker relevant to acute deterioration,high external missingness; only retained if needed for balanced transport comparison,regularized death-class coefficient rank 4 in P40_balanced_transport_model; used as auxiliary only,retain in balanced candidate only,,,,,,
high_fio2_burden_24h,F40_balanced_transport_set,0.0,0.0,respiratory status/support marker relevant to acute deterioration,available with low missingness in both MIMIC and eICU,regularized death-class coefficient rank 3 in P40_balanced_transport_model; used as auxiliary only,retain in balanced candidate only,,,,,,
