clinical_concept,mimic_source_table,mimic_raw_variable,eicu_source_table,eicu_raw_variable,unit_mimic,unit_eicu,canonical_unit,conversion_rule,hourly_aggregation_rule,forward_fill_rule,missingness_mimic,missingness_eicu,transportability_grade,recommended_use,notes,feature_set_role
antibiotic exposure flag,mimiciv_hosp.prescriptions / Step2 antibiotics flag,antibiotics_active_current,eicu medication / infusionDrug adapted flag,antibiotics_active_current,binary/status,binary/status,binary/status,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,high,transport,Core shared feature with acceptable external missingness.,MT1_physiology_context
bun latest value,mimiciv_hosp.labevents,bun_latest_value,eicu.lab,bun_latest_value,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.026135196977077724,0.0512033495758339,high,transport,Core shared feature with acceptable external missingness.,MT1_physiology_context
creatinine latest value,mimiciv_hosp.labevents,creatinine_latest_value,eicu.lab,creatinine_latest_value,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.02571793433644566,0.05043767245569298,high,transport,Core shared feature with acceptable external missingness.,MT1_physiology_context
creatinine relative rise from 24h min,mimiciv_hosp.labevents,creatinine_relative_rise_from_24h_min,eicu.lab,creatinine_relative_rise_from_24h_min,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.02571793433644566,0.05043767245569298,high,transport,Core shared feature with acceptable external missingness.,MT1_physiology_context
culture evidence flag,mimiciv_hosp.microbiologyevents,culture_flag_current,eicu microLab / diagnosis-supported adapted evidence,culture_flag_current,binary/status,binary/status,binary/status,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,high,transport,Core shared feature with acceptable external missingness.,MT1_physiology_context
dynamic prediction temporal alignment,Prediction_Grid_main_*,hours_from_anchor,Prediction_Grid_eicu_external,hours_from_anchor,hours or binary,hours or binary,hours/binary,already canonical,prediction grid value,not applicable,0.0,0.0,high,transport,Core shared feature with acceptable external missingness.,MT1_physiology_context
dynamic prediction temporal alignment,Prediction_Grid_main_*,hours_since_icu_admission,Prediction_Grid_eicu_external,hours_since_icu_admission,hours or binary,hours or binary,hours/binary,already canonical,prediction grid value,not applicable,0.0,0.0,high,transport,Core shared feature with acceptable external missingness.,MT1_physiology_context
dynamic prediction temporal alignment,Prediction_Grid_main_*,is_sepsis_on_admission,Prediction_Grid_eicu_external,is_sepsis_on_admission,hours or binary,hours or binary,hours/binary,already canonical,prediction grid value,not applicable,0.0,0.0,high,transport,Core shared feature with acceptable external missingness.,MT1_physiology_context
hr latest value,mimiciv_icu.chartevents,hr_latest_value,eicu.vitalPeriodic / nurseCharting,hr_latest_value,canonical vital unit,canonical vital unit,canonical vital unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.04145746929238078,0.010531151644969311,high,transport,Core shared feature with acceptable external missingness.,MT1_physiology_context
hr slope 6h,mimiciv_icu.chartevents,hr_slope_6h,eicu.vitalPeriodic / nurseCharting,hr_slope_6h,canonical vital unit,canonical vital unit,canonical vital unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.007612617245950126,0.00329669179926514,high,transport,Core shared feature with acceptable external missingness.,MT1_physiology_context
platelet latest value,mimiciv_hosp.labevents,platelet_latest_value,eicu.lab,platelet_latest_value,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.030911398644963835,0.07147619695308063,high,transport,Core shared feature with acceptable external missingness.,MT1_physiology_context
platelet relative drop 24h,mimiciv_hosp.labevents,platelet_relative_drop_24h,eicu.lab,platelet_relative_drop_24h,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.030911398644963835,0.07147619695308063,high,transport,Core shared feature with acceptable external missingness.,MT1_physiology_context
rr latest value,mimiciv_icu.chartevents / respiratory charting,rr_latest_value,eicu.vitalPeriodic / respiratoryCharting,rr_latest_value,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.04911084242416009,0.05728786701377363,high,transport,Core shared feature with acceptable external missingness.,MT1_physiology_context
shared support-intensity proxy,Step7 model-ready physiology-derived support components,shared_support_intensity_proxy,Step7 model-ready core physiology-derived support components,shared_support_intensity_proxy,0-1 proxy scale or component count,0-1 proxy scale or component count,0-1 proxy scale or component count,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,high,transport,Shared support-intensity proxy built from cross-database physiology components.,MT3_shared_support_proxy
shared support-intensity proxy,Step7 model-ready physiology-derived support components,support_hemodynamic_component,Step7 model-ready core physiology-derived support components,support_hemodynamic_component,0-1 proxy scale or component count,0-1 proxy scale or component count,0-1 proxy scale or component count,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,high,transport,Shared support-intensity proxy built from cross-database physiology components.,MT3_shared_support_proxy
shared support-intensity proxy,Step7 model-ready physiology-derived support components,support_proxy_component_count,Step7 model-ready core physiology-derived support components,support_proxy_component_count,0-1 proxy scale or component count,0-1 proxy scale or component count,0-1 proxy scale or component count,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,high,transport,Shared support-intensity proxy built from cross-database physiology components.,MT3_shared_support_proxy
shared support-intensity proxy,Step7 model-ready physiology-derived support components,support_renal_component,Step7 model-ready core physiology-derived support components,support_renal_component,0-1 proxy scale or component count,0-1 proxy scale or component count,0-1 proxy scale or component count,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,high,transport,Shared support-intensity proxy built from cross-database physiology components.,MT3_shared_support_proxy
shared support-intensity proxy,Step7 model-ready physiology-derived support components,support_respiratory_component,Step7 model-ready core physiology-derived support components,support_respiratory_component,0-1 proxy scale or component count,0-1 proxy scale or component count,0-1 proxy scale or component count,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,high,transport,Shared support-intensity proxy built from cross-database physiology components.,MT3_shared_support_proxy
spo2 latest value,mimiciv_icu.chartevents / respiratory charting,spo2_latest_value,eicu.vitalPeriodic / respiratoryCharting,spo2_latest_value,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.05773750492466954,0.03093525795709735,high,transport,Core shared feature with acceptable external missingness.,MT1_physiology_context
support lactate component,mimiciv_hosp.labevents,support_lactate_component,eicu.lab,support_lactate_component,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,high,transport,Shared support-intensity proxy built from cross-database physiology components.,MT3_shared_support_proxy
wbc latest value,mimiciv_hosp.labevents,wbc_latest_value,eicu.lab,wbc_latest_value,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.03065327803471237,0.07189185024687142,high,transport,Core shared feature with acceptable external missingness.,MT1_physiology_context
creatinine hours since last real measurement,mimiciv_hosp.labevents,creatinine_hours_since_last_real_measurement,eicu.lab,creatinine_hours_since_last_real_measurement,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0021435655189679832,0.0026965150752789016,moderate,transport,Minimal recency/provenance feature retained only in MT2.,MT2_minimal_recency
fio2 hours since last real measurement,mimiciv_icu.chartevents / respiratory charting,fio2_hours_since_last_real_measurement,eicu.vitalPeriodic / respiratoryCharting,fio2_hours_since_last_real_measurement,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.14777016785602692,0.13432925257548103,moderate,transport,Minimal recency/provenance feature retained only in MT2.,MT2_minimal_recency
platelet hours since last real measurement,mimiciv_hosp.labevents,platelet_hours_since_last_real_measurement,eicu.lab,platelet_hours_since_last_real_measurement,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0022978556581784446,0.00454935859084973,moderate,transport,Minimal recency/provenance feature retained only in MT2.,MT2_minimal_recency
