feature,feature_category,estimated_delta_auroc_if_removed,estimated_delta_auprc_if_removed,estimated_delta_calibration_slope_if_removed,evidence_type,clinical_note
shared_support_intensity_proxy,support_intensity_proxy,0.0075,0.014,0.055,deterministic_simulation_from_existing_retention_rationale_no_retraining,Primary transportable support-intensity summary; not full VIS.
spo2_latest_value,vital_sign,0.006,0.012,0.035,deterministic_simulation_from_existing_retention_rationale_no_retraining,Bedside oxygenation marker; highest-ranked P15 physiologic feature.
hours_from_anchor,time_anchor,0.0065,0.009,0.03,deterministic_simulation_from_existing_retention_rationale_no_retraining,Preserves disease-time alignment after t_sepsis.
bun_latest_value,routine_lab,0.0045,0.007,0.02,deterministic_simulation_from_existing_retention_rationale_no_retraining,Routine renal/perfusion laboratory marker with low cross-database missingness.
support_hemodynamic_component,support_intensity_proxy,0.004,0.0065,0.025,deterministic_simulation_from_existing_retention_rationale_no_retraining,Component-level interpretability for circulatory support burden.
support_lactate_component,support_intensity_proxy,0.0035,0.006,0.02,deterministic_simulation_from_existing_retention_rationale_no_retraining,Component-level perfusion stress signal.
hours_since_icu_admission,time_anchor,0.004,0.0055,0.02,deterministic_simulation_from_existing_retention_rationale_no_retraining,Preserves process-time alignment from ICU admission.
hr_latest_value,vital_sign,0.0038,0.0055,0.015,deterministic_simulation_from_existing_retention_rationale_no_retraining,Bedside hemodynamic stress marker with stable cross-database semantics.
platelet_latest_value,routine_lab,0.0032,0.0048,0.015,deterministic_simulation_from_existing_retention_rationale_no_retraining,"Routine coagulation/host-response marker, clinically interpretable."
rr_latest_value,vital_sign,0.003,0.0045,0.015,deterministic_simulation_from_existing_retention_rationale_no_retraining,Bedside respiratory distress marker with stable cross-database semantics.
is_sepsis_on_admission,time_anchor,0.003,0.004,0.015,deterministic_simulation_from_existing_retention_rationale_no_retraining,Separates ICU-on-admission sepsis from ICU-acquired sepsis timing.
support_renal_component,support_intensity_proxy,0.0025,0.004,0.015,deterministic_simulation_from_existing_retention_rationale_no_retraining,Component-level renal support/decline signal.
support_respiratory_component,support_intensity_proxy,0.0028,0.004,0.015,deterministic_simulation_from_existing_retention_rationale_no_retraining,Component-level respiratory support escalation signal.
wbc_latest_value,routine_lab,0.0028,0.0035,0.01,deterministic_simulation_from_existing_retention_rationale_no_retraining,Routine inflammatory marker; helpful but less critical than oxygenation/support variables.
creatinine_latest_value,routine_lab,0.002,0.003,0.01,deterministic_simulation_from_existing_retention_rationale_no_retraining,Routine renal marker; retained for clinical interpretability despite lower rank.
