feature,feature_category,clinical_interpretability_score_1to5,cross_database_stability_score_1to5,implementation_ease_score_1to5,model_importance_score_1to5,weighted_retention_score_1to5,included_in_P10,included_in_P12,included_in_P15,retention_recommendation,rationale,evidence_boundary
spo2_latest_value,vital_sign,5,4,5,5,4.75,True,True,True,core_keep,Bedside oxygenation marker; highest-ranked P15 physiologic feature.,scores are rule-based implementability ratings plus simulated P15 removal impact; no retraining
hr_latest_value,vital_sign,5,5,5,3,4.6,True,True,True,core_keep,Bedside hemodynamic stress marker with stable cross-database semantics.,scores are rule-based implementability ratings plus simulated P15 removal impact; no retraining
hours_from_anchor,time_anchor,4,5,5,4,4.5,True,True,True,core_keep,Preserves disease-time alignment after t_sepsis.,scores are rule-based implementability ratings plus simulated P15 removal impact; no retraining
shared_support_intensity_proxy,support_intensity_proxy,5,5,3,5,4.5,True,True,True,core_keep,Primary transportable support-intensity summary; not full VIS.,scores are rule-based implementability ratings plus simulated P15 removal impact; no retraining
rr_latest_value,vital_sign,5,4,5,3,4.35,True,True,True,core_keep,Bedside respiratory distress marker with stable cross-database semantics.,scores are rule-based implementability ratings plus simulated P15 removal impact; no retraining
hours_since_icu_admission,time_anchor,4,5,5,3,4.3,True,True,True,core_keep,Preserves process-time alignment from ICU admission.,scores are rule-based implementability ratings plus simulated P15 removal impact; no retraining
is_sepsis_on_admission,time_anchor,4,5,5,3,4.3,True,True,True,core_keep,Separates ICU-on-admission sepsis from ICU-acquired sepsis timing.,scores are rule-based implementability ratings plus simulated P15 removal impact; no retraining
bun_latest_value,routine_lab,5,4,4,4,4.3,True,True,True,core_keep,Routine renal/perfusion laboratory marker with low cross-database missingness.,scores are rule-based implementability ratings plus simulated P15 removal impact; no retraining
platelet_latest_value,routine_lab,5,4,4,3,4.1,True,True,True,core_keep,"Routine coagulation/host-response marker, clinically interpretable.",scores are rule-based implementability ratings plus simulated P15 removal impact; no retraining
support_hemodynamic_component,support_intensity_proxy,4,5,3,4,4.0,False,False,True,balanced_or_P15_keep,Component-level interpretability for circulatory support burden.,scores are rule-based implementability ratings plus simulated P15 removal impact; no retraining
creatinine_latest_value,routine_lab,5,4,4,2,3.9,True,True,True,core_keep,Routine renal marker; retained for clinical interpretability despite lower rank.,scores are rule-based implementability ratings plus simulated P15 removal impact; no retraining
support_renal_component,support_intensity_proxy,4,5,3,3,3.8,False,False,True,balanced_or_P15_keep,Component-level renal support/decline signal.,scores are rule-based implementability ratings plus simulated P15 removal impact; no retraining
support_respiratory_component,support_intensity_proxy,4,5,3,3,3.8,False,False,True,balanced_or_P15_keep,Component-level respiratory support escalation signal.,scores are rule-based implementability ratings plus simulated P15 removal impact; no retraining
support_lactate_component,support_intensity_proxy,4,4,3,4,3.75,False,True,True,balanced_or_P15_keep,Component-level perfusion stress signal.,scores are rule-based implementability ratings plus simulated P15 removal impact; no retraining
wbc_latest_value,routine_lab,4,4,4,2,3.6,False,True,True,balanced_or_P15_keep,Routine inflammatory marker; helpful but less critical than oxygenation/support variables.,scores are rule-based implementability ratings plus simulated P15 removal impact; no retraining
