model_name,component_group,component_question,feature_role,dataset_name,source,features_n,feature_list,external_evaluable,non_evaluable_reason,sample_n,death_n,death_rate,auroc_death_ovr,auprc_death,multiclass_brier,calibration_intercept_death,calibration_slope_death,internal_external_auroc_death_ovr_drop,internal_external_auprc_death_drop,internal_external_multiclass_brier_drop,internal_external_calibration_slope_death_drop
A1_B2_MT3_best_transport_no_phenotype_shared_proxy,A_phenotype,A1 best transport without phenotype; also B2 shared support-intensity proxy,transport_default_candidate,mimic_internal_test,read_existing_metre_model,21,hours_from_anchor;hours_since_icu_admission;is_sepsis_on_admission;hr_latest_value;hr_slope_6h;rr_latest_value;spo2_latest_value;creatinine_latest_value;creatinine_relative_rise_from_24h_min;bun_latest_value;platelet_latest_value;platelet_relative_drop_24h;wbc_latest_value;antibiotics_active_current;culture_flag_current;shared_support_intensity_proxy;support_hemodynamic_component;support_lactate_component;support_renal_component;support_respiratory_component;support_proxy_component_count,True,,1030526.0,20807.0,0.020190659915421832,0.805345794028386,0.2052511028741349,0.5757758825650097,-3.0944623501837945,1.057985075769373,-0.0036613200228132747,0.018926559990251668,-0.01689788447101903,0.09283425026102132
A1_B2_MT3_best_transport_no_phenotype_shared_proxy,A_phenotype,A1 best transport without phenotype; also B2 shared support-intensity proxy,transport_default_candidate,eicu_external,read_existing_metre_model,21,hours_from_anchor;hours_since_icu_admission;is_sepsis_on_admission;hr_latest_value;hr_slope_6h;rr_latest_value;spo2_latest_value;creatinine_latest_value;creatinine_relative_rise_from_24h_min;bun_latest_value;platelet_latest_value;platelet_relative_drop_24h;wbc_latest_value;antibiotics_active_current;culture_flag_current;shared_support_intensity_proxy;support_hemodynamic_component;support_lactate_component;support_renal_component;support_respiratory_component;support_proxy_component_count,True,,1051357.0,22593.0,0.02148937040415387,0.8090071140511993,0.18632454288388323,0.5926737670360287,-3.256981527144304,0.9651508255083516,-0.0036613200228132747,0.018926559990251668,-0.01689788447101903,0.09283425026102132
A2_MT4_best_transport_hard_phenotype,A_phenotype,A2 best transport plus phenotype_label,phenotype_hard_label_sensitivity,mimic_internal_test,read_existing_metre_model,22,hours_from_anchor;hours_since_icu_admission;is_sepsis_on_admission;hr_latest_value;hr_slope_6h;rr_latest_value;spo2_latest_value;creatinine_latest_value;creatinine_relative_rise_from_24h_min;bun_latest_value;platelet_latest_value;platelet_relative_drop_24h;wbc_latest_value;antibiotics_active_current;culture_flag_current;shared_support_intensity_proxy;support_hemodynamic_component;support_lactate_component;support_renal_component;support_respiratory_component;support_proxy_component_count;phenotype_label,True,,1030526.0,20807.0,0.020190659915421832,0.807332226607885,0.20430607524488745,0.5731538093400614,-3.1010912949788683,1.0465072866270893,-0.003755602703322314,0.022987585498471935,-0.04823659273355296,0.13383842151690595
A2_MT4_best_transport_hard_phenotype,A_phenotype,A2 best transport plus phenotype_label,phenotype_hard_label_sensitivity,eicu_external,read_existing_metre_model,22,hours_from_anchor;hours_since_icu_admission;is_sepsis_on_admission;hr_latest_value;hr_slope_6h;rr_latest_value;spo2_latest_value;creatinine_latest_value;creatinine_relative_rise_from_24h_min;bun_latest_value;platelet_latest_value;platelet_relative_drop_24h;wbc_latest_value;antibiotics_active_current;culture_flag_current;shared_support_intensity_proxy;support_hemodynamic_component;support_lactate_component;support_renal_component;support_respiratory_component;support_proxy_component_count;phenotype_label,True,,1051357.0,22593.0,0.02148937040415387,0.8110878293112073,0.1813184897464155,0.6213904020736144,-3.0565393044742093,0.9126688651101833,-0.003755602703322314,0.022987585498471935,-0.04823659273355296,0.13383842151690595
A3_best_transport_soft_membership,A_phenotype,A3 best transport plus soft membership/confidence/severity,phenotype_soft_membership_sensitivity,mimic_internal_test,trained_in_component_reassessment,26,hours_from_anchor;hours_since_icu_admission;is_sepsis_on_admission;hr_latest_value;hr_slope_6h;rr_latest_value;spo2_latest_value;creatinine_latest_value;creatinine_relative_rise_from_24h_min;bun_latest_value;platelet_latest_value;platelet_relative_drop_24h;wbc_latest_value;antibiotics_active_current;culture_flag_current;shared_support_intensity_proxy;support_hemodynamic_component;support_lactate_component;support_renal_component;support_respiratory_component;support_proxy_component_count;phenotype_confidence;phenotype_severity_score;phenotype_membership_Phenotype_1;phenotype_membership_Phenotype_2;phenotype_membership_Phenotype_3,True,,1030526.0,20807.0,0.020190659915421832,0.8071850100275433,0.20436555347964835,0.5733662921934937,-3.1045981430265055,1.0436819071108907,0.0059915802013174035,0.0456235885609832,-0.07695358282379583,0.2587919415987564
A3_best_transport_soft_membership,A_phenotype,A3 best transport plus soft membership/confidence/severity,phenotype_soft_membership_sensitivity,eicu_external,trained_in_component_reassessment,26,hours_from_anchor;hours_since_icu_admission;is_sepsis_on_admission;hr_latest_value;hr_slope_6h;rr_latest_value;spo2_latest_value;creatinine_latest_value;creatinine_relative_rise_from_24h_min;bun_latest_value;platelet_latest_value;platelet_relative_drop_24h;wbc_latest_value;antibiotics_active_current;culture_flag_current;shared_support_intensity_proxy;support_hemodynamic_component;support_lactate_component;support_renal_component;support_respiratory_component;support_proxy_component_count;phenotype_confidence;phenotype_severity_score;phenotype_membership_Phenotype_1;phenotype_membership_Phenotype_2;phenotype_membership_Phenotype_3,True,,1051357.0,22593.0,0.02148937040415387,0.8011934298262259,0.15874196491866516,0.6503198750172895,-3.0318856636240534,0.7848899655121343,0.0059915802013174035,0.0456235885609832,-0.07695358282379583,0.2587919415987564
B1_C1_MT1_physiology_only_no_proxy,B_support_intensity,B1 without VIS/proxy; also C1 physiology-only,physiology_only_no_support_proxy,mimic_internal_test,read_existing_metre_model,15,hours_from_anchor;hours_since_icu_admission;is_sepsis_on_admission;hr_latest_value;hr_slope_6h;rr_latest_value;spo2_latest_value;creatinine_latest_value;creatinine_relative_rise_from_24h_min;bun_latest_value;platelet_latest_value;platelet_relative_drop_24h;wbc_latest_value;antibiotics_active_current;culture_flag_current,True,,1030526.0,20807.0,0.020190659915421832,0.7534612874280747,0.11339158699207838,0.6062910085171009,-3.183864316575249,1.0054600694427431,-0.0099411632510078,-0.019533451205849595,-0.07594862158514193,0.007093334863339074
B1_C1_MT1_physiology_only_no_proxy,B_support_intensity,B1 without VIS/proxy; also C1 physiology-only,physiology_only_no_support_proxy,eicu_external,read_existing_metre_model,15,hours_from_anchor;hours_since_icu_admission;is_sepsis_on_admission;hr_latest_value;hr_slope_6h;rr_latest_value;spo2_latest_value;creatinine_latest_value;creatinine_relative_rise_from_24h_min;bun_latest_value;platelet_latest_value;platelet_relative_drop_24h;wbc_latest_value;antibiotics_active_current;culture_flag_current,True,,1051357.0,22593.0,0.02148937040415387,0.7634024506790825,0.13292503819792797,0.6822396301022429,-3.573387741767834,0.9983667345794041,-0.0099411632510078,-0.019533451205849595,-0.07594862158514193,0.007093334863339074
B2_direct_reduced_vis_flags,B_support_intensity,Supplemental direct reduced VIS proxy flags only,reduced_vis_flags_sensitivity,mimic_internal_test,trained_in_component_reassessment,17,hours_from_anchor;hours_since_icu_admission;is_sepsis_on_admission;hr_latest_value;hr_slope_6h;rr_latest_value;spo2_latest_value;creatinine_latest_value;creatinine_relative_rise_from_24h_min;bun_latest_value;platelet_latest_value;platelet_relative_drop_24h;wbc_latest_value;antibiotics_active_current;culture_flag_current;reduced_vis_proxy_available_flag;reduced_vis_proxy_unresolved_flag,True,,1030526.0,20807.0,0.020190659915421832,0.7534612874280747,0.11339158699207838,0.6062910085171009,-3.183864316575249,1.0054600694427434,-0.0099411632510078,-0.019533451205849595,-0.07594862158514193,0.007093334863339185
B2_direct_reduced_vis_flags,B_support_intensity,Supplemental direct reduced VIS proxy flags only,reduced_vis_flags_sensitivity,eicu_external,trained_in_component_reassessment,17,hours_from_anchor;hours_since_icu_admission;is_sepsis_on_admission;hr_latest_value;hr_slope_6h;rr_latest_value;spo2_latest_value;creatinine_latest_value;creatinine_relative_rise_from_24h_min;bun_latest_value;platelet_latest_value;platelet_relative_drop_24h;wbc_latest_value;antibiotics_active_current;culture_flag_current;reduced_vis_proxy_available_flag;reduced_vis_proxy_unresolved_flag,True,,1051357.0,22593.0,0.02148937040415387,0.7634024506790825,0.13292503819792797,0.6822396301022429,-3.573387741767834,0.9983667345794042,-0.0099411632510078,-0.019533451205849595,-0.07594862158514193,0.007093334863339185
