clinical_concept,mimic_source_table,mimic_raw_variable,eicu_source_table,eicu_raw_variable,unit_mimic,unit_eicu,canonical_unit,conversion_rule,hourly_aggregation_rule,forward_fill_rule,missingness_mimic,missingness_eicu,transportability_grade,recommended_use,notes,feature_set_role
culture evidence flag,mimiciv_hosp.microbiologyevents,culture_flag_hours_since_last_status_update,eicu microLab / diagnosis-supported adapted evidence,culture_flag_hours_since_last_status_update,binary/status,binary/status,binary/status,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.03474245191290661,1.0,low,rich_internal,External missingness or semantic instability is high.,rich_internal_default
fio2 latest value,mimiciv_icu.chartevents / respiratory charting,fio2_latest_value,eicu.vitalPeriodic / respiratoryCharting,fio2_latest_value,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.834381665285495,0.6957379843383361,low,rich_internal,External missingness or semantic instability is high.,rich_internal_default
lactate latest value,mimiciv_hosp.labevents,lactate_latest_value,eicu.lab,lactate_latest_value,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.6196049396133625,0.8294118933911127,low,rich_internal,External missingness or semantic instability is high.,rich_internal_default
lactate slope 6h,mimiciv_hosp.labevents,lactate_slope_6h,eicu.lab,lactate_slope_6h,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.5872379736173565,0.8074165102814743,low,rich_internal,External missingness or semantic instability is high.,rich_internal_default
map latest value,mimiciv_icu.chartevents,map_latest_value,eicu.vitalPeriodic / nurseCharting,map_latest_value,canonical vital unit,canonical vital unit,canonical vital unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.07940993240345222,0.688134477632241,low,rich_internal,External missingness or semantic instability is high.,rich_internal_default
map slope 6h,mimiciv_icu.chartevents,map_slope_6h,eicu.vitalPeriodic / nurseCharting,map_slope_6h,canonical vital unit,canonical vital unit,canonical vital unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.01817712507981361,0.6730121167215323,low,rich_internal,External missingness or semantic instability is high.,rich_internal_default
pao2 fio2 ratio,mimiciv_icu.chartevents / respiratory charting,pao2_fio2_ratio,eicu.vitalPeriodic / respiratoryCharting,pao2_fio2_ratio,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.8850664612052486,0.83231766184084,low,rich_internal,External missingness or semantic instability is high.,rich_internal_default
sbp latest value,mimiciv_icu.chartevents,sbp_latest_value,eicu.vitalPeriodic / nurseCharting,sbp_latest_value,canonical vital unit,canonical vital unit,canonical vital unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.1118477360105422,0.7217129861693031,low,rich_internal,External missingness or semantic instability is high.,rich_internal_default
shock index,mimiciv_icu.chartevents,shock_index,eicu.vitalPeriodic / nurseCharting,shock_index,canonical vital unit,canonical vital unit,canonical vital unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.11509268082513202,0.7217462764788745,low,rich_internal,External missingness or semantic instability is high.,rich_internal_default
shock index slope 6h,mimiciv_icu.chartevents,shock_index_slope_6h,eicu.vitalPeriodic / nurseCharting,shock_index_slope_6h,canonical vital unit,canonical vital unit,canonical vital unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.05084684908483629,0.7112522197502846,low,rich_internal,External missingness or semantic instability is high.,rich_internal_default
spo2 fio2 ratio,mimiciv_icu.chartevents / respiratory charting,spo2_fio2_ratio,eicu.vitalPeriodic / respiratoryCharting,spo2_fio2_ratio,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.8369580194968395,0.6982984847202235,low,rich_internal,External missingness or semantic instability is high.,rich_internal_default
temperature latest value,mimiciv_icu.chartevents,temperature_latest_value,eicu.vitalPeriodic / nurseCharting,temperature_latest_value,canonical vital unit,canonical vital unit,canonical vital unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.7202952666890501,0.6773607823032519,low,rich_internal,External missingness or semantic instability is high.,rich_internal_default
urine output latest value,mimiciv_icu.outputevents,urine_output_latest_value,eicu.intakeOutput,urine_output_latest_value,mL/hour or derived burden,mL/hour or derived burden,mL/hour or derived burden,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.48970234618049424,0.7533473406273987,low,rich_internal,External missingness or semantic instability is high.,rich_internal_default
ventilation status current,mimiciv_icu.chartevents / respiratory charting,ventilation_status_current,eicu.vitalPeriodic / respiratoryCharting,ventilation_status_current,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.061259977914191396,0.9348185250110096,low,rich_internal,External missingness or semantic instability is high.,rich_internal_default
