特征类别,具体变量,英文变量名,主要临床来源,是否可直接抽取,实时性,部署难度,主要风险点,证据来源文件
时间锚点,距 ICU 入室时间,hours_since_icu_admission,ICU stay / admission 表,是，基于 ICU 入室时间戳派生,固定时间戳 / 小时级派生,低,ADT/ICU 入室时间戳口径差异；需要本地 admission/stay 映射核对,manuscript_assets/tables/Supplementary_Table_S1_P15_Feature_Clinical_Validity.csv; manuscript_assets/figures/data/Figure5_P15_Clinical_Feature_Modules_Data.csv; results_final/clinical_implementation/run_p12_p10_true_training_validation.py
疾病阶段,距脓毒症发作锚点时间,hours_from_anchor,Sepsis-3 电子表型规则,否，需要 Sepsis-3 电子表型推导 t_sepsis 后派生,固定疾病锚点 / 小时级派生,中,t_sepsis 电子表型依赖抗菌药、培养、SOFA 规则；本地实现差异可能影响校准,manuscript_assets/tables/Supplementary_Table_S1_P15_Feature_Clinical_Validity.csv; manuscript_assets/figures/data/Figure5_P15_Clinical_Feature_Modules_Data.csv; results_final/clinical_implementation/run_p12_p10_true_training_validation.py; manuscript_assets/supplement/Supplementary_Dual_Anchor_Definition.md
疾病阶段,是否入室时/接近入室时发生脓毒症,is_sepsis_on_admission,Sepsis-3 电子表型规则,否，需要 Sepsis-3 电子表型推导,固定 cohort 标记,中,入室即脓毒症阈值和锚点窗口定义需本地复核,manuscript_assets/tables/Supplementary_Table_S1_P15_Feature_Clinical_Validity.csv; manuscript_assets/figures/data/Figure5_P15_Clinical_Feature_Modules_Data.csv; results_final/clinical_implementation/run_p12_p10_true_training_validation.py; manuscript_assets/supplement/Supplementary_Dual_Anchor_Definition.md
床旁生命体征,最新心率,heart_rate_latest_value,ICU 监护仪 / 护理 flowsheet,是,近实时或小时级记录,低,人工录入误差、监护仪/护理 flowsheet 字段差异、时间戳不一致,manuscript_assets/tables/Supplementary_Table_S1_P15_Feature_Clinical_Validity.csv; manuscript_assets/figures/data/Figure5_P15_Clinical_Feature_Modules_Data.csv; results_final/clinical_implementation/run_p12_p10_true_training_validation.py
床旁生命体征,最新呼吸频率,respiratory_rate_latest_value,ICU 监护仪 / 护理 flowsheet,是,小时级或护理记录更新,低到中,人工录入误差较心率更常见；护理 flowsheet 和监护仪来源可能不一致,manuscript_assets/tables/Supplementary_Table_S1_P15_Feature_Clinical_Validity.csv; manuscript_assets/figures/data/Figure5_P15_Clinical_Feature_Modules_Data.csv; results_final/clinical_implementation/run_p12_p10_true_training_validation.py
床旁生命体征,最新外周血氧饱和度,spo2_latest_value,ICU 监护仪 / 护理 flowsheet,是,近实时或小时级记录,低,探头质量、吸氧/通气支持状态影响解释；跨库字段命名差异,manuscript_assets/tables/Supplementary_Table_S1_P15_Feature_Clinical_Validity.csv; manuscript_assets/figures/data/Figure5_P15_Clinical_Feature_Modules_Data.csv; results_final/clinical_implementation/run_p12_p10_true_training_validation.py
常规实验室,最新肌酐,creatinine_latest_value,实验室系统,是,间断实验室结果,低,结果报告时间缺失、单位/测量口径需核对、实验室非小时级更新,manuscript_assets/tables/Supplementary_Table_S1_P15_Feature_Clinical_Validity.csv; manuscript_assets/figures/data/Figure5_P15_Clinical_Feature_Modules_Data.csv; results_final/clinical_implementation/run_p12_p10_true_training_validation.py; results_final/clinical_implementation/Lab_Availability_Lookahead_Audit.md
常规实验室,最新尿素氮,bun_latest_value,实验室系统,是,间断实验室结果,低,结果报告时间缺失、单位/测量口径需核对、实验室非小时级更新,manuscript_assets/tables/Supplementary_Table_S1_P15_Feature_Clinical_Validity.csv; manuscript_assets/figures/data/Figure5_P15_Clinical_Feature_Modules_Data.csv; results_final/clinical_implementation/run_p12_p10_true_training_validation.py; results_final/clinical_implementation/Lab_Availability_Lookahead_Audit.md
常规实验室,最新血小板计数,platelet_latest_value,实验室系统,是,间断实验室结果,低,结果报告时间缺失、单位/测量口径需核对、实验室非小时级更新,manuscript_assets/tables/Supplementary_Table_S1_P15_Feature_Clinical_Validity.csv; manuscript_assets/figures/data/Figure5_P15_Clinical_Feature_Modules_Data.csv; results_final/clinical_implementation/run_p12_p10_true_training_validation.py; results_final/clinical_implementation/Lab_Availability_Lookahead_Audit.md
常规实验室,最新白细胞计数,wbc_latest_value,实验室系统,是,间断实验室结果,低,结果报告时间缺失、单位/测量口径需核对、实验室非小时级更新,manuscript_assets/tables/Supplementary_Table_S1_P15_Feature_Clinical_Validity.csv; manuscript_assets/figures/data/Figure5_P15_Clinical_Feature_Modules_Data.csv; results_final/clinical_implementation/run_p12_p10_true_training_validation.py; results_final/clinical_implementation/Lab_Availability_Lookahead_Audit.md
