file_path,action,reason,final_destination,risk_level,whether_needed_for_manuscript
.gitignore,keep,Still useful in final manuscript-facing entry path.,.gitignore,low,yes
cleanup/__pycache__/run_repository_cleanup.cpython-314.pyc,delete,Cache or transient file without manuscript or audit value.,,low,no
cleanup/cleanup_plan.md,keep,Still useful in final manuscript-facing entry path.,cleanup/cleanup_plan.md,low,yes
cleanup/file_action_manifest.csv,keep,Still useful in final manuscript-facing entry path.,cleanup/file_action_manifest.csv,low,yes
cleanup/run_repository_cleanup.py,keep,Still useful in final manuscript-facing entry path.,cleanup/run_repository_cleanup.py,low,yes
final_freeze/Final_Freeze_Audit_Summary.json,move_to_archive,Previous final-freeze output superseded by parsimonious final freeze.,archive/legacy_final_freeze/final_freeze/Final_Freeze_Audit_Summary.json,medium,archive
final_freeze/FINAL_MANUSCRIPT_HANDOFF_INDEX.md,move_to_archive,Previous final-freeze output superseded by parsimonious final freeze.,archive/legacy_final_freeze/final_freeze/FINAL_MANUSCRIPT_HANDOFF_INDEX.md,medium,archive
final_freeze/Final_Model_Role_Audit.md,move_to_archive,Previous final-freeze output superseded by parsimonious final freeze.,archive/legacy_final_freeze/final_freeze/Final_Model_Role_Audit.md,medium,archive
final_freeze/FINAL_PI_SUMMARY.md,move_to_archive,Previous final-freeze output superseded by parsimonious final freeze.,archive/legacy_final_freeze/final_freeze/FINAL_PI_SUMMARY.md,medium,archive
final_freeze/Final_Table_Figure_Consistency_Audit.md,move_to_archive,Previous final-freeze output superseded by parsimonious final freeze.,archive/legacy_final_freeze/final_freeze/Final_Table_Figure_Consistency_Audit.md,medium,archive
final_freeze/Final_Table_Figure_Consistency_Detail.csv,move_to_archive,Previous final-freeze output superseded by parsimonious final freeze.,archive/legacy_final_freeze/final_freeze/Final_Table_Figure_Consistency_Detail.csv,medium,archive
final_freeze/Old_Result_Replacement_Map.csv,move_to_archive,Previous final-freeze output superseded by parsimonious final freeze.,archive/legacy_final_freeze/final_freeze/Old_Result_Replacement_Map.csv,medium,archive
final_freeze/Old_Result_Replacement_Report.md,move_to_archive,Previous final-freeze output superseded by parsimonious final freeze.,archive/legacy_final_freeze/final_freeze/Old_Result_Replacement_Report.md,medium,archive
final_freeze/Required_File_Inventory.csv,move_to_archive,Previous final-freeze output superseded by parsimonious final freeze.,archive/legacy_final_freeze/final_freeze/Required_File_Inventory.csv,medium,archive
final_freeze/run_final_freeze_audit.py,move_to_archive,Previous final-freeze output superseded by parsimonious final freeze.,archive/legacy_final_freeze/final_freeze/run_final_freeze_audit.py,medium,archive
HEAVY_ARTIFACT_MANIFEST.csv,keep,Required repository/data-boundary documentation retained and updated.,HEAVY_ARTIFACT_MANIFEST.csv,low,yes
LOCAL_ASSET_INDEX.md,keep,Required repository/data-boundary documentation retained and updated.,LOCAL_ASSET_INDEX.md,low,yes
metre_transport/METRE_Core_Feature_Registry.csv,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/metre_transport/METRE_Core_Feature_Registry.csv,medium,supplementary/archive
metre_transport/METRE_Core_Feature_Registry_Report.md,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/metre_transport/METRE_Core_Feature_Registry_Report.md,medium,supplementary/archive
metre_transport/METRE_Transport_Feature_Set.csv,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/metre_transport/METRE_Transport_Feature_Set.csv,medium,supplementary/archive
metre_transport/METRE_Transport_Final_Recommendation.md,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/metre_transport/METRE_Transport_Final_Recommendation.md,medium,supplementary/archive
metre_transport/METRE_Transport_Model_Comparison.csv,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/metre_transport/METRE_Transport_Model_Comparison.csv,medium,supplementary/archive
metre_transport/METRE_Transport_Model_Report.md,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/metre_transport/METRE_Transport_Model_Report.md,medium,supplementary/archive
metre_transport/METRE_vs_Original_Model_Comparison.csv,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/metre_transport/METRE_vs_Original_Model_Comparison.csv,medium,supplementary/archive
metre_transport/Rich_Internal_Feature_Set.csv,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/metre_transport/Rich_Internal_Feature_Set.csv,medium,supplementary/archive
metre_transport/run_metre_transport_repair.py,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/metre_transport/run_metre_transport_repair.py,medium,supplementary/archive
metre_transport/Shared_Support_Intensity_Proxy_Definition.md,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/metre_transport/Shared_Support_Intensity_Proxy_Definition.md,medium,supplementary/archive
phenotype_reassessment/phenotype_calibration_stratification.csv,move_to_archive,Phenotype is no longer a default performance route; retained as stratification/explanation audit.,archive/phenotype_audit/phenotype_reassessment/phenotype_calibration_stratification.csv,medium,supplementary/archive
phenotype_reassessment/phenotype_role_comparison.csv,move_to_archive,Phenotype is no longer a default performance route; retained as stratification/explanation audit.,archive/phenotype_audit/phenotype_reassessment/phenotype_role_comparison.csv,medium,supplementary/archive
phenotype_reassessment/phenotype_role_report.md,move_to_archive,Phenotype is no longer a default performance route; retained as stratification/explanation audit.,archive/phenotype_audit/phenotype_reassessment/phenotype_role_report.md,medium,supplementary/archive
phenotype_reassessment/run_phenotype_role_reassessment.py,move_to_archive,Phenotype is no longer a default performance route; retained as stratification/explanation audit.,archive/phenotype_audit/phenotype_reassessment/run_phenotype_role_reassessment.py,medium,supplementary/archive
post_metre_clinical_utility/Clinical_Utility_Model_Targets.md,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/post_metre_clinical_utility/Clinical_Utility_Model_Targets.md,medium,supplementary/archive
post_metre_clinical_utility/dca_threshold_sweep_post_metre.csv,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/post_metre_clinical_utility/dca_threshold_sweep_post_metre.csv,medium,supplementary/archive
post_metre_clinical_utility/eventual_death_leadtime_summary.csv,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/post_metre_clinical_utility/eventual_death_leadtime_summary.csv,medium,supplementary/archive
post_metre_clinical_utility/Post_METRE_Leadtime_DCA_Report.md,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/post_metre_clinical_utility/Post_METRE_Leadtime_DCA_Report.md,medium,supplementary/archive
post_metre_clinical_utility/run_post_metre_clinical_utility.py,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/post_metre_clinical_utility/run_post_metre_clinical_utility.py,medium,supplementary/archive
post_metre_clinical_utility/strict_24h_first_alarm_summary.csv,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/post_metre_clinical_utility/strict_24h_first_alarm_summary.csv,medium,supplementary/archive
post_metre_component_reassessment/component_ablation_results.csv,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/post_metre_component_reassessment/component_ablation_results.csv,medium,supplementary/archive
post_metre_component_reassessment/component_subgroup_results.csv,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/post_metre_component_reassessment/component_subgroup_results.csv,medium,supplementary/archive
post_metre_component_reassessment/Post_METRE_Component_Reassessment_Report.md,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/post_metre_component_reassessment/Post_METRE_Component_Reassessment_Report.md,medium,supplementary/archive
post_metre_component_reassessment/run_post_metre_component_reassessment.py,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/post_metre_component_reassessment/run_post_metre_component_reassessment.py,medium,supplementary/archive
post_metre_recalibration/eicu_recalibration_split_report.md,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/post_metre_recalibration/eicu_recalibration_split_report.md,medium,supplementary/archive
post_metre_recalibration/Post_METRE_Calibration_Curve_Data.csv,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/post_metre_recalibration/Post_METRE_Calibration_Curve_Data.csv,medium,supplementary/archive
post_metre_recalibration/Post_METRE_Recalibration_Report.md,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/post_metre_recalibration/Post_METRE_Recalibration_Report.md,medium,supplementary/archive
post_metre_recalibration/Post_METRE_Recalibration_Results.csv,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/post_metre_recalibration/Post_METRE_Recalibration_Results.csv,medium,supplementary/archive
post_metre_recalibration/Recalibrated_Model_Signoff.md,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/post_metre_recalibration/Recalibrated_Model_Signoff.md,medium,supplementary/archive
post_metre_recalibration/recalibration_methods_summary.md,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/post_metre_recalibration/recalibration_methods_summary.md,medium,supplementary/archive
post_metre_recalibration/Recalibration_Targets.md,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/post_metre_recalibration/Recalibration_Targets.md,medium,supplementary/archive
post_metre_recalibration/run_post_metre_external_recalibration.py,move_to_archive,Superseded by final P15 mainline but retained for audit/reference.,archive/post_metre_reference/post_metre_recalibration/run_post_metre_external_recalibration.py,medium,supplementary/archive
