model_display_name,freshness_scenario,lab_value_interpretation,eICU_AUROC,eICU_AUPRC,eICU_calibration_slope,delta_AUPRC_vs_current,relative_AUPRC_drop_pct,noninferiority_status,clinical_interpretation,limitation_note
P15_clinically_parsimonious_transport_model,current_latest_value_reference,latest-available / capped carry-forward; not hourly real lab measurement,0.8103,0.1892,1.0031,0.0000,0.0000,acceptable,reference latest-available / capped carry-forward,Result availability time incomplete; chart/sample time used as conservative approximation.
P15_clinically_parsimonious_transport_model,lab12h_freshness_window,latest-available / capped carry-forward; not hourly real lab measurement,0.7847,0.1674,0.9779,-0.0218,11.5271,borderline_acceptable,borderline acceptable for P15; not fully noninferior,Result availability time incomplete; chart/sample time used as conservative approximation.
P15_clinically_parsimonious_transport_model,lab24h_freshness_window,latest-available / capped carry-forward; not hourly real lab measurement,0.8085,0.1860,0.9991,-0.0032,1.7080,acceptable,largely stable,Result availability time incomplete; chart/sample time used as conservative approximation.
P15_clinically_parsimonious_transport_model,stale_lab_as_missing,latest-available / capped carry-forward; not hourly real lab measurement,0.7847,0.1674,0.9779,-0.0218,11.5271,borderline_acceptable,stress-test scenario,Result availability time incomplete; chart/sample time used as conservative approximation.
P12_true_trained_clinical_landing_model,current_latest_value_reference,latest-available / capped carry-forward; not hourly real lab measurement,0.8038,0.1767,1.0100,0.0000,0.0000,acceptable,reference latest-available / capped carry-forward,Result availability time incomplete; chart/sample time used as conservative approximation.
P12_true_trained_clinical_landing_model,lab12h_freshness_window,latest-available / capped carry-forward; not hourly real lab measurement,0.7767,0.1545,0.9578,-0.0223,12.5908,borderline_acceptable,borderline acceptable for P15; not fully noninferior,Result availability time incomplete; chart/sample time used as conservative approximation.
P12_true_trained_clinical_landing_model,lab24h_freshness_window,latest-available / capped carry-forward; not hourly real lab measurement,0.8015,0.1721,0.9898,-0.0046,2.6015,acceptable,largely stable,Result availability time incomplete; chart/sample time used as conservative approximation.
P12_true_trained_clinical_landing_model,stale_lab_as_missing,latest-available / capped carry-forward; not hourly real lab measurement,0.7767,0.1545,0.9578,-0.0223,12.5908,borderline_acceptable,stress-test scenario,Result availability time incomplete; chart/sample time used as conservative approximation.
P10_true_trained_ultra_minimal_sensitivity_model,current_latest_value_reference,latest-available / capped carry-forward; not hourly real lab measurement,0.7978,0.1711,1.0133,0.0000,0.0000,acceptable,reference latest-available / capped carry-forward,Result availability time incomplete; chart/sample time used as conservative approximation.
P10_true_trained_ultra_minimal_sensitivity_model,lab12h_freshness_window,latest-available / capped carry-forward; not hourly real lab measurement,0.7743,0.1498,0.9444,-0.0213,12.4425,borderline_acceptable,borderline acceptable for P15; not fully noninferior,Result availability time incomplete; chart/sample time used as conservative approximation.
P10_true_trained_ultra_minimal_sensitivity_model,lab24h_freshness_window,latest-available / capped carry-forward; not hourly real lab measurement,0.7950,0.1634,0.9723,-0.0077,4.4979,acceptable,largely stable,Result availability time incomplete; chart/sample time used as conservative approximation.
P10_true_trained_ultra_minimal_sensitivity_model,stale_lab_as_missing,latest-available / capped carry-forward; not hourly real lab measurement,0.7743,0.1498,0.9444,-0.0213,12.4425,borderline_acceptable,stress-test scenario,Result availability time incomplete; chart/sample time used as conservative approximation.
