original_path,action,destination_path,reason,risk_if_left_in_main_path,manuscript_needed,audit_needed,final_status
cleanup/Final_Consistency_Cleanup_Plan.md,update_text,,document cleanup strategy before final manifest,outdated or ambiguous final wording,yes,yes,updated
metre_transport,move_to_archive,archive/superseded_results/metre_transport,superseded pre-final or post-METRE working result set retained for audit only,could be mistaken for current final result package,no,yes,archived
phenotype_reassessment,move_to_archive,archive/superseded_results/phenotype_reassessment,superseded pre-final or post-METRE working result set retained for audit only,could be mistaken for current final result package,no,yes,archived
post_metre_clinical_utility,move_to_archive,archive/superseded_results/post_metre_clinical_utility,superseded pre-final or post-METRE working result set retained for audit only,could be mistaken for current final result package,no,yes,archived
post_metre_component_reassessment,move_to_archive,archive/superseded_results/post_metre_component_reassessment,superseded pre-final or post-METRE working result set retained for audit only,could be mistaken for current final result package,no,yes,archived
post_metre_recalibration,move_to_archive,archive/superseded_results/post_metre_recalibration,superseded pre-final or post-METRE working result set retained for audit only,could be mistaken for current final result package,no,yes,archived
post_metre_selection,move_to_archive,archive/superseded_results/post_metre_selection,superseded pre-final or post-METRE working result set retained for audit only,could be mistaken for current final result package,no,yes,archived
recalibration,move_to_archive,archive/superseded_results/recalibration,superseded pre-final or post-METRE working result set retained for audit only,could be mistaken for current final result package,no,yes,archived
results_package,move_to_archive,archive/superseded_results/results_package,superseded pre-final or post-METRE working result set retained for audit only,could be mistaken for current final result package,no,yes,archived
transport_model,move_to_archive,archive/superseded_results/transport_model,superseded pre-final or post-METRE working result set retained for audit only,could be mistaken for current final result package,no,yes,archived
step9_results_packaging,move_to_archive,archive/superseded_scripts/step9_results_packaging,old packaging script workspace retained for audit only,could be mistaken for active manuscript packaging workflow,no,yes,archived
parsimonious_features,move_to_archive,archive/superseded_simulation_before_true_training/parsimonious_features,old parsimonious and simulated P10/P12 materials superseded by true-training validation,could imply P10/P12 simulation-only results are still the clinical implementation evidence,no,yes,archived
final_freeze/Final_Freeze_Audit_Summary.json,move_to_archive,archive/superseded_results/final_freeze/Final_Freeze_Audit_Summary.json,legacy freeze audit replaced by final parsimonious audit,legacy final/main wording could confuse final model roles,no,yes,archived
final_freeze/FINAL_MANUSCRIPT_HANDOFF_INDEX.md,move_to_archive,archive/superseded_results/final_freeze/FINAL_MANUSCRIPT_HANDOFF_INDEX.md,legacy handoff replaced by FINAL_FILE_INDEX.md and final parsimonious summaries,legacy final/main wording could confuse final model roles,no,yes,archived
final_freeze/Final_Model_Role_Audit.md,move_to_archive,archive/superseded_results/final_freeze/Final_Model_Role_Audit.md,legacy model role audit replaced by Final_Model_Role_Audit_Parsimonious.md,legacy final/main wording could confuse final model roles,no,yes,archived
final_freeze/FINAL_PI_SUMMARY.md,move_to_archive,archive/superseded_results/final_freeze/FINAL_PI_SUMMARY.md,legacy PI summary replaced by FINAL_PI_SUMMARY_PARSIMONIOUS.md,legacy final/main wording could confuse final model roles,no,yes,archived
final_freeze/Final_Table_Figure_Consistency_Audit.md,move_to_archive,archive/superseded_results/final_freeze/Final_Table_Figure_Consistency_Audit.md,legacy table/figure audit replaced by final cleanup report,legacy final/main wording could confuse final model roles,no,yes,archived
final_freeze/Final_Table_Figure_Consistency_Detail.csv,move_to_archive,archive/superseded_results/final_freeze/Final_Table_Figure_Consistency_Detail.csv,legacy detail table retained for audit,legacy final/main wording could confuse final model roles,no,yes,archived
final_freeze/Old_Result_Replacement_Map.csv,move_to_archive,archive/superseded_results/final_freeze/Old_Result_Replacement_Map.csv,legacy replacement map retained for audit,legacy final/main wording could confuse final model roles,no,yes,archived
final_freeze/Old_Result_Replacement_Report.md,move_to_archive,archive/superseded_results/final_freeze/Old_Result_Replacement_Report.md,legacy replacement report retained for audit,legacy final/main wording could confuse final model roles,no,yes,archived
final_freeze/Required_File_Inventory.csv,move_to_archive,archive/superseded_results/final_freeze/Required_File_Inventory.csv,legacy inventory retained for audit,legacy final/main wording could confuse final model roles,no,yes,archived
final_freeze/run_final_freeze_audit.py,move_to_archive,archive/superseded_scripts/final_freeze/run_final_freeze_audit.py,legacy script retained for audit,legacy final/main wording could confuse final model roles,no,yes,archived
final_freeze/run_final_parsimonious_integration.py,move_to_archive,archive/superseded_scripts/final_freeze/run_final_parsimonious_integration.py,legacy script retained for audit,legacy final/main wording could confuse final model roles,no,yes,archived
results_final/clinical_implementation/P15_Clinical_Implementation_Priority_Ranking.csv,move_to_archive,archive/superseded_simulation_before_true_training/results_final/clinical_implementation/P15_Clinical_Implementation_Priority_Ranking.csv,simulation-only P10/P12 or pre-true-training implementation artifact superseded by true-training validation,could imply P10/P12 are still simulation-only evidence in the main path,no,yes,archived
