clinical_priority_rank,feature_display,feature_internal,feature_category,clinical_trust_score_1to5,clinical_trust_level,implementation_burden,real_time_availability,blood_draw_required,cross_database_stability_evidence,retention_recommendation,rationale
1,spo2_latest_value,spo2_latest_value,vital_sign,4.75,very_high,routine_bedside_monitoring,near_real_time,no,MIMIC missing 0.094; eICU missing 0.031,core_keep,SpO2 carries oxygenation information and is the strongest estimated P15 single-feature contributor.
2,heart_rate_latest_value,hr_latest_value,vital_sign,4.6,very_high,routine_bedside_monitoring,near_real_time,no,MIMIC missing 0.074; eICU missing 0.011,core_keep,Heart rate is a universally charted bedside marker of circulatory stress.
3,hours_from_anchor,hours_from_anchor,time_anchor,4.5,very_high,automatic_timestamp_or_anchor_logic,near_real_time,no,MIMIC missing 0.000; eICU missing 0.000,core_keep,Disease-time anchor from t_sepsis; high transport value and preserves prefix-only temporal framing.
4,shared_support_intensity_proxy,shared_support_intensity_proxy,support_proxy,4.5,very_high,derived_transport_proxy_from_support_signals,derived_after_source_signal_update,no,MIMIC missing 0.000; eICU missing 0.000,core_keep,"Transportable support-intensity composite; proxy only, not full VIS."
5,respiratory_rate_latest_value,rr_latest_value,vital_sign,4.35,high,routine_bedside_monitoring,near_real_time,no,MIMIC missing 0.081; eICU missing 0.057,core_keep,"Respiratory rate is clinically simple, low-cost, and transportable across ICU datasets."
6,hours_since_icu_admission,hours_since_icu_admission,time_anchor,4.3,high,automatic_timestamp_or_anchor_logic,near_real_time,no,MIMIC missing 0.000; eICU missing 0.000,core_keep,ICU process-time anchor; available in both databases and necessary for dual-anchor alignment.
7,is_sepsis_on_admission,is_sepsis_on_admission,time_anchor,4.3,high,automatic_timestamp_or_anchor_logic,near_real_time,no,MIMIC missing 0.000; eICU missing 0.000,core_keep,Separates admission sepsis from ICU-acquired sepsis without using future outcomes.
8,bun_latest_value,bun_latest_value,routine_lab,4.3,high,routine_blood_laboratory,episodic_laboratory_turnaround,yes,MIMIC missing 0.025; eICU missing 0.051,core_keep,Routine renal/perfusion marker with strong estimated transport contribution.
9,platelet_latest_value,platelet_latest_value,routine_lab,4.1,high,routine_blood_laboratory,episodic_laboratory_turnaround,yes,MIMIC missing 0.030; eICU missing 0.071,core_keep,Routine coagulation/host-response marker with clear clinical interpretation.
10,support_hemodynamic_component,support_hemodynamic_component,support_proxy,4.0,high,derived_transport_proxy_from_support_signals,derived_after_source_signal_update,no,MIMIC missing 0.000; eICU missing 0.000,balanced_or_P15_keep,Circulatory support component; useful for P15 interpretability but removable in simpler subsets.
11,creatinine_latest_value,creatinine_latest_value,routine_lab,3.9,moderate,routine_blood_laboratory,episodic_laboratory_turnaround,yes,MIMIC missing 0.025; eICU missing 0.050,core_keep,Routine renal laboratory marker; interpretable but lower estimated incremental contribution than BUN.
12,support_renal_component,support_renal_component,support_proxy,3.8,moderate,derived_transport_proxy_from_support_signals,derived_after_source_signal_update,no,MIMIC missing 0.000; eICU missing 0.000,balanced_or_P15_keep,"Renal support/decline component; useful in P15, excluded from simpler subsets."
13,support_respiratory_component,support_respiratory_component,support_proxy,3.8,moderate,derived_transport_proxy_from_support_signals,derived_after_source_signal_update,no,MIMIC missing 0.000; eICU missing 0.000,balanced_or_P15_keep,"Respiratory support escalation component; useful in P15, excluded from simpler subsets."
14,support_lactate_component,support_lactate_component,support_proxy,3.75,moderate,derived_transport_proxy_from_support_signals,derived_after_source_signal_update,no,MIMIC missing 0.000; eICU missing 0.000,balanced_or_P15_keep,Perfusion component; retained in P12 as the most clinically direct support subcomponent.
15,wbc_latest_value,wbc_latest_value,routine_lab,3.6,moderate,routine_blood_laboratory,episodic_laboratory_turnaround,yes,MIMIC missing 0.029; eICU missing 0.072,balanced_or_P15_keep,"Inflammation marker; clinically interpretable but weaker single-feature contribution, so excluded from P10."
