feature_name,clinical_domain,clinical_meaning_zh,direct_measurement_or_derived,acquisition_source,expected_update_frequency,clinical_acceptability_score_1_to_5,interpretability_score_1_to_5,implementation_burden_score_1_to_5,cross_database_stability_score_1_to_5,possible_clinical_objection,response_to_objection,final_note
hours_since_icu_admission,time/process anchor,患者进入 ICU 后已经经过的小时数，反映 ICU 流程时间和暴露时间。,derived,EHR-derived,hourly from timestamp logic,5,4,1,5,这不是生理变量，是否会引入流程偏倚？,它用于双锚点对齐和风险时钟校正，不作为器官损伤替代指标；MIMIC 和 eICU 均可稳定获得。,核心时间锚点，临床部署负担低。
hours_from_anchor,disease-time anchor,距离 t_sepsis 疾病锚点的小时数，反映患者处于脓毒症病程的哪个阶段。,derived,EHR-derived,hourly from anchor logic,5,4,1,5,t_sepsis 需要算法定义，临床上不一定直观。,t_sepsis 已在 Step 1 锁定；该变量只表达相对疾病时间，不改变 Sepsis-3 队列定义。,双锚点框架的关键变量。
is_sepsis_on_admission,sepsis timing phenotype,标记患者是否入 ICU 时已经接近或达到脓毒症锚点。,derived,EHR-derived,fixed at cohort construction,5,5,1,5,二分类标记可能过于简化。,它只用于区分入室即脓毒症与 ICU 后发生脓毒症，避免两类患者被错误混合。,临床可解释性高，部署负担低。
heart_rate_latest_value,vital sign / circulation,最新心率，反映循环应激、发热、休克或药物影响。,direct measurement,bedside monitor,near-continuous or hourly charted,5,5,1,5,心率非特异，受镇静、疼痛、药物影响。,非特异性是 ICU 风险变量的常见属性；模型同时使用氧合、实验室和支持强度信息来平衡解释。,最容易落地的床旁变量之一。
respiratory_rate_latest_value,vital sign / respiration,最新呼吸频率，反映呼吸窘迫、代谢性酸中毒代偿或镇静影响。,direct measurement,bedside monitor,hourly charted or monitor-derived,5,5,1,4,呼吸频率记录质量可能不如心率稳定。,该变量跨库可获得，且在临床上直观；质量问题可通过 EHR 映射和数据新鲜度审计管理。,临床含义明确，适合保留。
spo2_latest_value,vital sign / oxygenation,最新外周血氧饱和度，反映氧合状态和呼吸衰竭风险。,direct measurement,bedside monitor,near-continuous or hourly charted,5,5,1,4,SpO2 受吸氧浓度和探头质量影响。,正因为受支持治疗影响，模型同时包含支持强度 proxy；该变量本身对临床医生非常直观。,临床信任度最高的 P15 变量之一。
creatinine_latest_value,routine laboratory / renal,最新肌酐，反映肾功能和急性肾损伤风险。,direct measurement,routine laboratory,episodic; commonly daily or more frequent in unstable ICU patients,5,5,2,4,不是实时变量，可能滞后于病情变化。,这是常规 ICU 实验室变量；模型不要求人工实时测量，只需 EHR 自动读取最新结果。,常规实验室变量，临床接受度高。
bun_latest_value,routine laboratory / renal-perfusion,最新尿素氮，反映肾功能、灌注状态和代谢负荷。,direct measurement,routine laboratory,episodic; commonly daily or more frequent in unstable ICU patients,5,5,2,4,BUN 受营养、消化道出血、容量状态影响。,BUN 的综合性正是重症风险的一部分；它作为风险信号而非单一病因解释。,P15 中较重要的实验室变量。
platelet_latest_value,routine laboratory / coagulation-host response,最新血小板计数，反映凝血、炎症和骨髓/消耗状态。,direct measurement,routine laboratory,episodic; commonly daily in ICU,5,5,2,4,血小板变化可能受基础病、输血或药物影响。,它是 Sepsis-3/SOFA 相关器官功能信息，临床上熟悉且可解释。,适合主模型和简化模型。
wbc_latest_value,routine laboratory / inflammation,最新白细胞计数，反映炎症、感染或免疫反应。,direct measurement,routine laboratory,episodic; commonly daily in ICU,4,4,2,4,WBC 对死亡风险预测非特异，且免疫抑制患者可能不升高。,它作为炎症强度的辅助变量保留在 P15/P12；P10 去除该变量正体现了极简敏感性分析。,适合 P15/P12，不是 P10 必需变量。
shared_support_intensity_proxy,support burden proxy,跨数据库共享的总体支持强度负荷指标，反映循环、灌注、肾脏和呼吸支持压力的综合程度。,derived,treatment/support-derived,hourly or after support-status update,4,4,3,5,proxy 过于抽象，不像血压或肌酐那样直接。,应解释为支持强度负荷，而不是药物剂量评分；其目的是跨 MIMIC/eICU 保持一致表达。,P10 最简 proxy 方案的核心。
support_hemodynamic_component,support burden proxy / circulation,循环支持相关分量，反映血流动力学支持压力。,derived,treatment/support-derived,hourly or after support-status update,4,4,3,5,是否等同于 VIS 或升压药剂量评分？,不等同于 full VIS；它是跨库可迁移的支持强度分量，需在报告中明确命名。,用于 P15 完整解释，简化候选可删除。
support_lactate_component,support burden proxy / perfusion,灌注/乳酸相关支持分量，反映组织低灌注和复苏压力。,derived,treatment/support-derived,episodic to hourly depending on lactate/source updates,4,5,3,4,乳酸不是所有时间点都有，可能依赖抽血频率。,这正是 P12 选择该分量而不是全部分量的原因；它兼顾灌注解释性和特征负担。,P12 双指标 proxy 方案的关键解释分量。
support_renal_component,support burden proxy / renal,肾脏支持或肾功能恶化相关分量，反映肾脏支持压力。,derived,treatment/support-derived,hourly or after urine/output/support update,3,4,3,5,分量定义需要额外解释，可能不适合人工判断。,P15 是 EHR 自动抽取模型，不是人工手算评分；该分量只在完整模型中保留。,保留于 P15，简化方案可删除。
support_respiratory_component,support burden proxy / respiration,呼吸支持相关分量，反映氧疗、机械通气或呼吸支持升级压力。,derived,treatment/support-derived,hourly or after respiratory-support update,4,4,3,5,不同数据库呼吸支持记录口径可能不同。,该分量基于 transport proxy 逻辑保留跨库语义；部署前仍需本地 EHR 映射验证。,完整 P15 解释层的一部分，简化模型可删除。
