file_path,change_type,old_expression,new_expression,legacy_alias_preserved,note
README.md,rewrite_text,legacy wording / mojibake / ambiguous bedside naming,clinically parsimonious transport wording with legacy alias,yes,"No metrics, cohort, feature list, label, or model artifact was changed."
FINAL_PROJECT_SUMMARY.md,rewrite_text,legacy wording / mojibake / ambiguous bedside naming,clinically parsimonious transport wording with legacy alias,yes,"No metrics, cohort, feature list, label, or model artifact was changed."
FINAL_FILE_INDEX.md,rewrite_text,legacy wording / mojibake / ambiguous bedside naming,clinically parsimonious transport wording with legacy alias,yes,"No metrics, cohort, feature list, label, or model artifact was changed."
final_freeze/Final_Model_Role_Audit_Parsimonious.md,rewrite_text,legacy wording / mojibake / ambiguous bedside naming,clinically parsimonious transport wording with legacy alias,yes,"No metrics, cohort, feature list, label, or model artifact was changed."
final_freeze/FINAL_PI_SUMMARY_PARSIMONIOUS.md,rewrite_text,legacy wording / mojibake / ambiguous bedside naming,clinically parsimonious transport wording with legacy alias,yes,"No metrics, cohort, feature list, label, or model artifact was changed."
results_final/text/Results_Skeleton_zh_Final_Parsimonious.md,rewrite_text,legacy wording / mojibake / ambiguous bedside naming,clinically parsimonious transport wording with legacy alias,yes,"No metrics, cohort, feature list, label, or model artifact was changed."
results_final/text/Discussion_Outline_zh_Final_Parsimonious.md,rewrite_text,legacy wording / mojibake / ambiguous bedside naming,clinically parsimonious transport wording with legacy alias,yes,"No metrics, cohort, feature list, label, or model artifact was changed."
results_final/text/Honest_Reporting_Checklist_Final_Parsimonious.md,rewrite_text,legacy wording / mojibake / ambiguous bedside naming,clinically parsimonious transport wording with legacy alias,yes,"No metrics, cohort, feature list, label, or model artifact was changed."
parsimonious_features/Final_Parsimonious_Model_Recommendation.md,rewrite_text,legacy wording / mojibake / ambiguous bedside naming,clinically parsimonious transport wording with legacy alias,yes,"No metrics, cohort, feature list, label, or model artifact was changed."
parsimonious_features/Manuscript_Update_Notes.md,rewrite_text,legacy wording / mojibake / ambiguous bedside naming,clinically parsimonious transport wording with legacy alias,yes,"No metrics, cohort, feature list, label, or model artifact was changed."
results_package/text/Results_Skeleton_zh_Final_Parsimonious.md,sync_text_copy,older final parsimonious copy,same naming as results_final,yes,Synchronized backward-compatible results_package text.
results_package/text/Discussion_Outline_zh_Final_Parsimonious.md,sync_text_copy,older final parsimonious copy,same naming as results_final,yes,Synchronized backward-compatible results_package text.
results_package/text/Honest_Reporting_Checklist_Final_Parsimonious.md,sync_text_copy,older final parsimonious copy,same naming as results_final,yes,Synchronized backward-compatible results_package text.
final_freeze/Final_Model_Role_Assignment_Parsimonious.csv,csv_display_columns,technical IDs only,display names plus preserved legacy IDs,yes,Added manuscript-facing naming columns without changing metrics.
results_final/tables/Table2_Main_Model_Comparators_Final_Parsimonious.csv,csv_display_columns,technical IDs only,display names plus preserved legacy IDs,yes,Added manuscript-facing naming columns without changing metrics.
results_final/tables/Table_Parsimonious_Feature_Set_Comparison.csv,csv_display_columns,technical IDs only,display names plus preserved legacy IDs,yes,Added manuscript-facing naming columns without changing metrics.
results_package/tables/Table2_Main_Model_Comparators_Final_Parsimonious.csv,csv_display_columns,technical IDs only,display names plus preserved legacy IDs,yes,Added manuscript-facing naming columns without changing metrics.
results_package/tables/Table_Parsimonious_Feature_Set_Comparison.csv,csv_display_columns,technical IDs only,display names plus preserved legacy IDs,yes,Added manuscript-facing naming columns without changing metrics.
parsimonious_features/F15_minimal_bedside_set.csv,csv_display_columns,technical IDs only,display names plus preserved legacy IDs,yes,Added manuscript-facing naming columns without changing metrics.
parsimonious_features/F25_clinical_core_set.csv,csv_display_columns,technical IDs only,display names plus preserved legacy IDs,yes,Added manuscript-facing naming columns without changing metrics.
parsimonious_features/F40_balanced_transport_set.csv,csv_display_columns,technical IDs only,display names plus preserved legacy IDs,yes,Added manuscript-facing naming columns without changing metrics.
parsimonious_features/Feature_Retention_Rationale.csv,csv_display_columns,technical IDs only,display names plus preserved legacy IDs,yes,Added manuscript-facing naming columns without changing metrics.
parsimonious_features/Noninferiority_Assessment.csv,csv_display_columns,technical IDs only,display names plus preserved legacy IDs,yes,Added manuscript-facing naming columns without changing metrics.
parsimonious_features/Parsimonious_Model_Comparison.csv,csv_display_columns,technical IDs only,display names plus preserved legacy IDs,yes,Added manuscript-facing naming columns without changing metrics.
parsimonious_features/Parsimonious_Model_Report.md,targeted_text_update,F15_minimal_bedside_set display wording,F15_clinically_parsimonious_feature_set,yes,Updated report wording only.
